num_prior_defaults,identity_verification_passed,device_fingerprint_match,application_velocity_24h,income_to_loan_ratio,account_age_days,employment_type,repayment_method,geo_risk_score,previous_loan_count,application_hour,mobile_os,marketing_campaign_id,label
1,0,1,1,1.192,29,salaried,e-wallet,0.496,1,22,Android,C6,Fraud
3,0,0,2,0.837,13,self-employed,e-wallet,0.464,0,15,Android,C1,Non-fraud
0,1,0,1,0.659,20,self-employed,bank_transfer,0.395,0,15,Android,C3,Fraud
1,1,1,0,1.478,26,unemployed,bank_transfer,0.143,0,16,Android,C6,Non-fraud
1,1,1,0,2.047,32,self-employed,bank_transfer,0.5,0,20,iOS,C6,Non-fraud
2,0,1,0,1.256,10,unemployed,e-wallet,0.504,0,22,Android,C4,Fraud
0,1,1,4,1.21,33,self-employed,bank_transfer,0.403,3,7,iOS,C4,Non-fraud
1,0,0,3,0.665,83,salaried,e-wallet,0.242,0,1,iOS,C6,Fraud
1,1,1,0,1.567,34,salaried,bank_transfer,0.122,1,7,iOS,C2,Non-fraud
1,1,1,0,1.063,12,unemployed,bank_transfer,0.472,0,3,iOS,C4,Fraud
0,0,0,13,0.233,7,unemployed,bank_transfer,0.65,0,5,Android,C4,Non-fraud
0,0,0,8,1.372,22,salaried,e-wallet,0.742,0,14,Android,C5,Fraud
3,0,0,4,0.106,7,unemployed,e-wallet,0.524,0,6,Android,C2,Fraud
0,1,1,0,2.052,24,salaried,bank_transfer,0.113,1,19,Android,C2,Non-fraud
2,1,1,1,1.306,49,salaried,e-wallet,0.212,0,15,iOS,C3,Fraud
3,0,0,8,0.555,21,unemployed,bank_transfer,0.217,1,15,Android,C2,Fraud
0,0,1,1,1.935,35,self-employed,cash_agent,0.722,0,7,iOS,C3,Fraud
2,1,0,2,1.243,30,self-employed,bank_transfer,0.136,0,1,Android,C5,Non-fraud
0,1,0,1,2.333,55,salaried,bank_transfer,0.325,3,22,Android,C6,Non-fraud
0,1,1,0,1.53,49,unemployed,bank_transfer,0.224,2,11,iOS,C1,Non-fraud
0,1,0,2,1.432,14,self-employed,bank_transfer,0.433,0,5,Android,C5,Non-fraud
1,1,1,1,0.834,12,unemployed,bank_transfer,0.369,0,10,Android,C2,Non-fraud
0,1,1,0,1.632,43,self-employed,bank_transfer,0.301,1,2,iOS,C4,Non-fraud
4,0,1,4,0.396,16,unemployed,cash_agent,0.678,0,13,Android,C4,Fraud
0,0,1,1,1.931,95,salaried,bank_transfer,0.571,1,6,iOS,C4,Non-fraud
2,1,0,2,1.138,25,unemployed,e-wallet,0.689,1,9,Android,C1,Non-fraud
0,1,1,0,2.923,86,salaried,e-wallet,0.662,2,18,Android,C3,Non-fraud
